slug,name_kr,domain,note
korea-press-foundation,한국언론진흥재단,kpf.or.kr,
ministry-climate-energy-env,기후에너지환경부,me.go.kr,구 환경부 도메인(개편으로 변경 가능)
homeplus,홈플러스(주),homeplus.co.kr,
jeonju-prosecutors,전주지방검찰청,spo.go.kr,전주지검 jeonju.spo.go.kr
seoul-police,서울경찰청,police.go.kr,smpa.police.go.kr
dankook-univ,(학)단국대학교,dankook.ac.kr,
gangwon-state,강원특별자치도청,gangwon.go.kr,
kb-kookmin-card,(주) KB국민카드,kbcard.com,
busan-prosecutors,부산지방검찰청,spo.go.kr,부산지검 busan.spo.go.kr
gh-gyeonggi,경기주택도시공사,gh.or.kr,GH
kt,주식회사 케이티,kt.com,
samsung-ena,삼성이앤에이 (주),samsungena.com,구 삼성엔지니어링
hanyang-univ,한양대학교,hanyang.ac.kr,
cj-olive-young,씨제이올리브영 주식회사,oliveyoung.co.kr,
childfund-korea,초록우산,childfund.or.kr,초록우산 어린이재단
meritz-fire,메리츠화재해상보험주식회사,meritzfire.com,
coway,코웨이(주),coway.com,
cj-logistics,씨제이대한통운 (주),cjlogistics.com,
kyowon,(주)교원,kyowon.co.kr,
korea-forest-service,산림청,forest.go.kr,
sk-planet,에스케이 플래닛(주),skplanet.com,
hyundai-enc,현대건설(주),hdec.kr,
hanwha-galleria,한화갤러리아(주),galleria.co.kr,
jeju-council,제주특별자치도의회,council.jeju.kr,
korea-ginseng-corp,(주) 한국인삼공사,kgc.co.kr,정관장
hyundai-motor,현대자동차(주),hyundai.com,
korea-police,경찰청,police.go.kr,
koita,(사) 한국산업기술진흥협회,koita.or.kr,
korea-post,우정사업본부,koreapost.go.kr,
korea-national-railway,국가철도공단,kr.or.kr,
gangwon-edu,강원특별자치도교육청,gwe.go.kr,
kyobo-life,교보생명보험 (주),kyobo.com,
kyobo-book,(주) 교보문고,kyobobook.co.kr,
hyundai-mobis,현대모비스(주),mobis.co.kr,
molit,국토교통부,molit.go.kr,
mogef,성평등가족부,mogef.go.kr,구 여성가족부
nh-nonghyup-bank,농협은행 주식회사,nhbank.com,
samyang-holdings,(주) 삼양홀딩스,samyang.com,
lotte-fine-chemical,롯데정밀화학 (주),lottefinechem.com,
shinhan-bank,(주)신한은행,shinhan.com,
shinhan-life,신한생명보험(주),shinhanlife.co.kr,
samhwa-paints,삼화페인트공업(주),samhwa.com,
hanwha-systems,한화시스템(주),hanwhasystems.com,
shinsegae-food,(주) 신세계푸드,shinsegaefood.com,
lotte-wellfood,롯데웰푸드(주),lottewellfood.com,
bc-card,비씨카드(주),bccard.com,
cj-cgv,CJCGV (씨제이 씨지브이) (주),cgv.co.kr,
kakaobank,주식회사 카카오뱅크,kakaobank.com,
busan-technopark,재단법인 부산테크노파크,btp.or.kr,
seoul-business-agency,재단법인 서울경제진흥원,sba.kr,SBA
kb-kookmin-bank,(주) 국민은행,kbstar.com,
yonsei-univ,(학) 연세대학교,yonsei.ac.kr,
